id,name,description,hero_id,is_ultimate
1,Biotic Rifle,Ana’s rifle shoots darts that can restore health to her allies or deal ongoing damage to her enemies. She can use the rifle’s scope to zoom in on targets and make highly accurate shots.,1,0
2,Sleep Dart,"Ana fires a dart from her sidearm, rendering an enemy unconscious (though any damage will rouse them).",1,0
3,Biotic Grenade,"Ana tosses a biotic bomb that deals damage to enemies and heals allies in a small area of effect. Affected allies briefly receive increased healing from all sources, while enemies caught in the blast cannot be healed for a few moments.",1,0
4,Nano Boost,"After Ana hits one of her allies with a combat boost, they temporarily move faster, deal more damage, and take less damage from enemies’ attacks.",1,1
5,Configuration: Recon,"In Recon mode, Bastion is fully mobile, outfitted with a submachine gun that fires steady bursts of bullets at medium range.",2,0
6,Configuration: Sentry,"In Sentry mode, Bastion is a stationary powerhouse equipped with a gatling gun capable of unleashing a hail of bullets. The gun's aim can be ""walked"" across multiple targets dealing devastating damage at short to medium range.",2,0
7,Reconfigure,Bastion transforms between its two primary combat modes to adapt to changing battlefield conditions.,2,0
8,Self-Repair,Bastion restores its health; it cannot move or fire weapons while the repair process is in effect.,2,0
9,Configuration: Tank,"In Tank mode, Bastion extends wheeled treads and a powerful long-range cannon. The cannon’s explosive shells demolish targets in a wide blast radius, but Bastion can only remain in this mode for a limited time.",2,1
10,Fusion Cannons,"D.Va's mech is equipped with twin short-range rotating cannons. They lay down continuous, high-damage fire without needing to reload, but slow D.Va’s movement while they’re active.",3,0
11,Boosters,"D.Va’s mech launches into the air, her momentum carrying her forward. She can turn and change directions or barrel through her enemies, knocking them back.",3,0
12,Defense Matrix,D.Va can activate this forward-facing targeting array to shoot incoming projectiles out of the air.,3,0
13,Eject,D.Va ejects out of her mech when it is destroyed.,3,0
14,Self-Destruct,"D.Va ejects from her mech and sets its reactor to explode, dealing massive damage to nearby opponents.",3,1
15,Light Gun,"While outside of her mech, D.Va can continue the fight with a mid-range automatic blaster.",3,0
16,Call Mech,"If her armored battle suit is destroyed, D.Va can call down a fresh mech and return to the fray.",3,1
17,Shuriken,"Genji looses three deadly throwing stars in quick succession. Alternatively, he can throw three shuriken in a wider spread.",4,0
18,Swift Strike,"Genji darts forward, slashing with his katana and passing through foes in his path. If Genji eliminates a target, he can instantly use this ability again.",4,0
19,Deflect,"With lightning-quick swipes of his sword, Genji reflects any oncoming projectiles and can send them rebounding towards his enemies.",4,0
20,Cyber-Agility,"Thanks to his cybernetic abilities, Genji can climb walls and perform jumps in mid-air.",4,0
21,Dragonblade,"Genji brandishes his katana for a brief period of time. Until he sheathes his sword, Genji can deliver killing strikes to any targets within his reach.",4,1
22,Storm Bow,Hanzo nocks and fires an arrow at his target.,5,0
23,Scatter Arrow,Hanzo shoots a fragmenting arrow that ricochets off walls and objects and can strike multiple targets at once.,5,0
24,Sonic Arrow,"Hanzo launches an arrow that contains a sonar tracking device. Any enemy within its detection radius is visibly marked, making them easier for Hanzo and his allies to hunt down.",5,0
25,Wall Climb,Hanzo can climb any vertical surface.,5,0
26,Dragonstrike,"Hanzo summons a Spirit Dragon which travels through the air in a line. It passes through walls in its way, devouring any enemies it encounters.",5,1
27,Frag Launcher,"Junkrat's Frag Launcher lobs grenades a significant distance. They bounce to reach their destination, and blow up when they strike an enemy.",6,0
28,Concussion Mine,"After placing one of his homemade Concussion Mines, Junkrat can trigger it to damage enemies and send them flying... or propel himself through the air.",6,0
29,Steel Trap,"Junkrat tosses out a giant, metal-toothed trap. Should an enemy wander too close to the trap, it clamps on, injuring and immobilizing them.",6,0
30,Total Mayhem,"Junkrat's deranged sense of humor persists past his death. If killed, he drops several live grenades.",6,0
31,RIP-Tire,"Junkrat revs up a motorized tire bomb and sends it rolling across the battlefield, climbing over walls and obstacles. He can remotely detonate the RIP-Tire to deal serious damage to enemies caught within the blast, or just wait for it to explode on its own.",6,1
32,Sonic Amplifier,Lúcio can hit his enemies with sonic projectiles or knock them back with a blast of sound.,7,0
33,Crossfade,"Lúcio continuously energizes himself, and nearby teammates, with music. He can switch between two songs: one amplifies movement speed, while the other regenerates health.",7,0
34,Amp It Up,"Lúcio increases the volume on his speakers, boosting the effects of his songs.",7,0
35,Wall Ride,"Lúcio rides along a wall. This has a slight upwards angle, allowing him to ascend the wall.",7,0
36,Sound Barrier,"Protective waves radiate out from Lúcio’s Sonic Amplifier, briefly providing him and nearby allies with personal shields.",7,1
37,Peacekeeper,McCree fires off a round from his trusty six-shooter. He can fan the Peacekeeper’s hammer to swiftly unload the entire cylinder.,8,0
38,Combat Roll,"McCree dives in the direction he's moving, effortlessly reloading his Peacekeeper in the process.",8,0
39,Flashbang,McCree heaves a blinding grenade that explodes shortly after it leaves his hand. The blast staggers enemies in a small radius.,8,0
40,Deadeye,"Focus. Mark. Draw. McCree takes a few precious moments to aim; when he's ready to fire, he shoots every enemy in his line of sight. The weaker his targets are, the faster he'll line up a killshot.",8,1
41,Endothermic Blaster,"Mei's blaster unleashes a concentrated, short-range stream of frost that damages, slows, and ultimately freezes enemies in place. Mei can also use her blaster to shoot icicle-like projectiles at medium range.",9,0
42,Cryo-Freeze,"Mei instantly surrounds herself with a block of thick ice. She heals and ignores damage while encased, but cannot move or use abilities.",9,0
43,Ice Wall,"Mei generates an enormous ice wall that obstructs lines of sight, stops movement, and blocks attacks.",9,0
44,Blizzard,Mei deploys a weather-modification drone that emits gusts of wind and snow in a wide area. Enemies caught in the blizzard are slowed and take damage; those who linger too long are frozen solid.,9,1
45,Caduceus Staff,"Mercy engages one of two beams that connect to an ally. By maintaining the beams, she can either restore that ally's health or increase the amount of damage they deal.",10,0
46,Caduceus Blaster,Mercy shoots a round from her sidearm. It's best reserved for emergency personal defense.,10,0
47,Guardian Angel,"Mercy flies towards a targeted ally, allowing her to reach them quickly and provide assistance in crucial moments.",10,0
48,Angelic Descent,"Propelled by her Valkyrie suit, Mercy slows the speed of her descent from great heights.",10,0
49,Resurrect,"Mercy radiates restorative power, bringing nearby dead allies back into the fight with full health.",10,1
50,Rocket Launcher,Pharah’s primary weapon launches rockets that deal significant damage in a wide blast radius.,11,0
51,Concussive Blast,Pharah looses a wrist rocket that knocks back any enemies it strikes.,11,0
52,Jump Jet,"Propelled by her suit’s thrusters, Pharah soars high into the air.",11,0
53,Hover Jets,Pharah hovers in mid-air.,11,0
54,Barrage,Pharah directs a continuous salvo of mini-rockets to destroy groups of enemies.,11,1
55,Hellfire Shotguns,Reaper tears enemies apart with twin shotguns.,12,0
56,Wraith Form,"Reaper becomes a shadow for a short period of time. While in this form, he takes no damage and is able to pass through enemies, but cannot fire his weapons or use other abilities.",12,0
57,Shadow Step,"After marking a destination, Reaper disappears and reappears at that location.",12,0
58,The Reaping,Reaper collects souls from fallen enemies to replenish his health.,12,0
59,Death Blossom,"In a blur of motion, Reaper empties both hellfire shotguns at breakneck speed, dealing massive damage to all nearby enemies.",12,1
60,Rocket Hammer,"Reinhardt’s Rocket Hammer is an exemplary melee weapon, able to deal punishing damage in a wide arc with every swing.",13,0
61,Barrier Field,"Reinhardt projects a broad, forward-facing energy barrier, which can absorb substantial damage before it is destroyed. Although Reinhardt can protect himself and his companions behind the barrier, he cannot attack while sustaining it.",13,0
62,Charge,"Reinhardt charges forth in a straight line, pinning the first enemy in his path and knocking others aside. If he collides with a wall, the foe he’s carrying suffers extreme damage.",13,0
63,Fire Strike,"By whipping his Rocket Hammer forward, Reinhardt slings a flaming projectile which pierces and damages any enemies it touches.",13,0
64,Earthshatter,"Reinhardt forcefully slams his rocket hammer into the ground, knocking down and damaging all enemies in front of him.",13,1
65,Scrap Gun,"Roadhog's Scrap Gun fires short-range blasts of shrapnel with a wide spread. Alternatively, it can launch a shrapnel ball that detonates farther away, scattering metal fragments from the point of impact.",14,0
66,Take A Breather,Roadhog restores a chunk of his health over a brief period of time.,14,0
67,Chain Hook,"Roadhog hurls his chain at a target; if it catches, he yanks them into close range.",14,0
68,Whole Hog,"After cramming a top-loader onto his Scrap Gun, Roadhog pours in ammo. For a short time, he can crank out a stream of shrapnel that knocks back enemies.",14,1
69,Heavy Pulse Rifle,Soldier: 76’s rifle remains particularly steady while unloading fully-automatic pulse fire. He can also fire single shots with pinpoint accuracy.,15,0
70,Helix Rockets,Tiny rockets spiral out of Soldier: 76’s Pulse Rifle in a single burst. The rockets’ explosion damages enemies in a small radius.,15,0
71,Sprint,"Whether he needs to evade a firefight or get back into one, Soldier: 76 can rush ahead in a burst of speed. His sprint ends if he takes an action other than charging forward.",15,0
72,Biotic Field,Soldier: 76 plants a biotic emitter on the ground. Its energy projection restores health to 76 and any of his squadmates within the field.,15,0
73,Tactical Visor,"Soldier: 76’s pinpoint targeting visor “locks” his aim on the threat closest to his crosshairs. If an enemy leaves his line of sight, Soldier: 76 can quickly switch to another target.",15,1
74,Photon Projector,"Symmetra’s weapon emits a short-range beam that homes in on a nearby enemy, dealing continuous damage that increases the longer it is connected. The projector can also release a charged energy ball that deals high damage.",16,0
75,Sentry Turret,Symmetra sets up a small turret that automatically fires speed-reducing blasts at the nearest enemy within range. Several turrets can be built on the battlefield at once.,16,0
76,Photon Shield,Symmetra surrounds an ally with a hard-light shield that absorbs damage and persists as long as that ally remains alive.,16,0
77,Teleporter,"Symmetra places a teleporter exit pad at her current location, and connects it to a teleporter entry pad at her team’s starting point. Allies can travel through the entry pad to the exit pad instantly, enabling them to return to the fight swiftly after being defeated.",16,1
78,Rivet Gun,"Torbjörn fires rivets at long range, or ejects molten metal from his gun in a short, close-range burst.",17,0
79,Forge Hammer,"Torbjörn uses his multipurpose hammer to build, upgrade and repair turrets. In a pinch, it can also be swung as a weapon.",17,0
80,Build Turret,"Torbjörn constructs an enemy-tracking autocannon. He can use his Forge Hammer to repair or upgrade it, increasing its health and adding a second cannon barrel and a rocket launcher.",17,0
81,Scrap Collector,Collect scrap to gain resources.,17,0
82,Armor Pack,Torbjörn deploys an armor upgrade; either he or his allies can pick it up to absorb some damage.,17,0
83,Molten Core,"After overheating his personal forge, Torbjörn gains a significant amount of armor. He also attacks (and builds and repairs turrets) far faster than normal.",17,1
84,Pulse Pistols,Tracer rapid-fires both of her pistols.,18,0
85,Blink,"Tracer zips horizontally through space in the direction she’s moving, and reappears several yards away. She stores up to three charges of the blink ability and generates more every few seconds.",18,0
86,Recall,"Tracer bounds backward in time, returning her health, ammo and position on the map to precisely where they were a few seconds before.",18,0
87,Pulse Bomb,"Tracer lobs a large bomb that adheres to any surface or unfortunate opponent it lands on. After a brief delay, the bomb explodes, dealing high damage to all enemies within its blast radius.",18,1
88,Widow's Kiss,"Widowmaker’s versatile sniper rifle is ideal for scope-aimed shots at distant targets. Should targets close to medium range, the rifle can also be fired in fully-automatic mode.",19,0
89,Grappling Hook,"Widowmaker launches a grappling hook towards the location she’s aiming at – when the hook connects with a scalable surface, she’s quickly drawn towards it, allowing her to expand her view of the battlefield and evade or flank targets.",19,0
90,Venom Mine,"Widowmaker adheres a swiftly-arming venom mine to nearly any surface. When a target wanders within range of the mine’s motion trigger, it explodes, delivering poison gas to any enemies in the vicinity.",19,0
91,Infra-Sight,Widowmaker’s recon visor allows her to see the heat signatures of her targets through walls and objects for a moderate amount of time. This enhanced vision is shared with her allies.,19,1
92,Tesla Cannon,Winston’s weapon fires a short-range electric barrage for as long as he holds down the trigger.,20,0
93,Jump Pack,"Assisted by his energy pack, Winston lunges through the air, dealing significant damage and staggering nearby enemies when he lands.",20,0
94,Barrier Projector,Winston's barrier projector extends a bubble-shaped field that absorbs damage until it's destroyed. Allies protected by the barrier can return fire from within it.,20,0
95,Primal Rage,"Winston embraces his animal nature, significantly boosting his health and making him very difficult to kill, strengthening his melee attack, and allowing him to use his Jump Pack ability more frequently. While raging, Winston can only make melee and Jump Pack attacks.",20,1
96,Particle Cannon,"Zarya’s mighty Particle Cannon unleashes a short-range beam of destructive energy. Alternatively, Zarya can lob an explosive charge to strike multiple opponents.",21,0
97,Particle Barrier,"The Particle Cannon can emit a personal barrier that shields Zarya against incoming attacks, redirecting their energy to enhance her weapon’s damage and the width of its beam.",21,0
98,Projected Barrier,Zarya surrounds one of her teammates with an energy barrier that simultaneously absorbs fire and boosts the power of her Particle Cannon.,21,0
99,Energy,Damage blocked increases Particle Cannon damage.,21,0
100,Graviton Surge,Zarya launches a gravity bomb that draws in enemy combatants and deals damage while they’re trapped.,21,1
101,Orb of Destruction,"Zenyatta projects his destructive energy orbs either individually, or in a rapid-fire volley after a few seconds spent gathering power.",22,0
102,Orb of Harmony,"Zenyatta casts an orb over the shoulder of a targeted ally. So long as Zenyatta maintains line of sight, the orb slowly restores health to his ally. Only one ally can receive the orb's benefit at a time.",22,0
103,Orb of Discord,Attaching the orb of discord to an opponent amplifies the amount of damage they receive for as long as Zenyatta maintains line of sight. Only one opponent can suffer the orb's effects at a time.,22,0
104,Transcendence,"Zenyatta enters a state of heightened existence for a short period of time. While transcendent, Zenyatta cannot use abilities or weapons, but is immune to damage, moves twice as fast, and automatically restores his health and that of nearby allies.",22,1
105,Machine Pistol,"Sombra’s fully-automatic machine pistol fires in a short-range spread.",23,0
106,Hack,"Sombra hacks enemies to temporarily stop them from using their abilities, or hacks first aid kits to make them useless to her opponents.",23,0
107,Thermoptic Camo,"Sombra becomes invisible for a short period of time, during which her speed is boosted considerably. Attacking, using offensive abilities, or taking damage disables her camouflage.",23,0
108,Translocator,"Sombra tosses out a translocator beacon. She can instantly return to the beacon’s location while it is active (including when it’s in mid-flight).",23,0
109,EMP,"Sombra discharges electromagnetic energy in a wide radius, destroying enemy barriers and shields and hacking all opponents caught in the blast.",23,1
