id,name,description,role_id,health,armour,shield,real_name,age,height,affiliation,base_of_operations,difficulty
1,Ana,"Ana’s versatile arsenal allows her to affect heroes all over the battlefield. Her Biotic Rifle rounds and Biotic Grenades heal allies and damage or impair enemies; her sidearm tranquilizes key targets, and Nano Boost gives one of her comrades a considerable increase in power.",4,200,0,0,Ana Amari,60,,Overwatch,"Cairo, Egypt",3
2,Bastion,"Repair protocols and the ability to transform between stationary Assault, mobile Recon and devastating Tank configurations provide Bastion with a high probability of victory.",2,200,100,0,SST Laboratories Siege Automaton E54,30,220,,,1
3,D.Va,"D.Va’s mech is nimble and powerful—its twin Fusion Cannons blast away with autofire at short range, and she can use its Boosters to barrel over enemies and obstacles, or deflect attacks with her projectile-dismantling Defense Matrix.",3,100,400,0,Hana Song,19,,Mobile Exo-Force of the Korean Army,"Busan, South Korea",2
4,Genji,"Genji flings precise and deadly Shuriken at his targets, and uses his technologically-advanced katana to deflect projectiles or deliver a Swift Strike that cuts down enemies.",1,200,0,0,Genji Shimada,35,,Shimada Clan,"Shambali Monastery, Nepal",3
5,Hanzo,"Hanzo’s versatile arrows can reveal his enemies or fragment to strike multiple targets. He can scale walls to fire his bow from on high, or summon a titanic spirit dragon.",2,200,0,0,Hanzo Shimada,38,173,Shimada Clan,"Hanamura, Japan",3
6,Junkrat,"Junkrat’s area-denying armaments include a Frag Launcher that lobs bouncing grenades, Concussion Mines that send enemies flying, and Steel Traps that stop foes dead in their tracks.",2,200,0,0,Jamison Fawkes,25,195,Junkers,"Junkertown, Australia",2
7,Lúcio,"On the battlefield, Lúcio’s cutting-edge Sonic Amplifier buffets enemies with projectiles and knocks foes back with blasts of sound. His songs can both heal his team or boost their movement speed, and he can switch between tracks on the fly.",4,200,0,0,Lúcio Correia dos Santos,26,160,,"Rio de Janeiro, Brazil",2
8,McCree,"Armed with his Peacekeeper revolver, McCree takes out targets with deadeye precision and dives out of danger with eagle-like speed.",1,200,0,0,Jesse McCree,37,185,Deadlock Gang,"Santa Fe, New Mexico",2
9,Mei,"Mei’s weather-altering devices slow opponents and protect locations. Her Endothermic Blaster unleashes damaging icicles and frost streams, and she can Cryo-Freeze herself to guard against counterattacks, or obstruct the opposing team's movements with an Ice Wall.",2,250,0,0,Mei-Link Zhou,31,160,Overwatch,"Xi'an, China",3
10,Mercy,"Mercy’s Valkyrie Suit helps keep her close to teammates like a guardian angel; healing, resurrecting or strengthening them with the beams emanating from her Caduceus Staff.",4,200,0,0,Angela Ziegler,37,170,Overwatch,"Zürich, Switzerland",1
11,Pharah,"Soaring through the air in her combat armor, and armed with a launcher that lays down high-explosive rockets, Pharah is a force to be reckoned with.",1,200,0,0,Fareeha Amari,32,180,Helix Security International,"Giza, Egypt",1
12,Reaper,"Hellfire Shotguns, the ghostly ability to become immune to damage, and the power to step between shadows make Reaper one of the deadliest beings on Earth.",1,250,0,0,Gabriel Reyes,56,185,Overwatch,"Los Angeles, California, United States of America",1
13,Reinhardt,"Clad in powered armor and swinging his hammer, Reinhardt leads a rocket-propelled charge across the battleground and defends his squadmates with a massive energy barrier.",3,300,200,0,Reinhardt Wilhelm,61,223,Overwatch,"Stuttgart, Germany",1
14,Roadhog,"Roadhog uses his signature Chain Hook to pull his enemies close before shredding them with blasts from his Scrap Gun. He’s hardy enough to withstand tremendous damage, and can recover his health with a short breather.",3,600,0,0,Mako Rutledge,48,220,Australian Liberation Front,"Junkertown, Australia",1
15,Soldier: 76,"Armed with cutting-edge weaponry, including an experimental pulse rifle that’s capable of firing spirals of high-powered Helix Rockets, Soldier: 76 has the speed and support know-how of a highly trained warrior.",1,200,0,0,Jack Morrison,55,185,Overwatch,,1
16,Symmetra,"Symmetra utilizes her light-bending Photon Projector to dispatch adversaries, shield her associates, construct teleportation pads and deploy particle-blasting Sentry Turrets.",4,100,0,0,Satya Vaswani,28,170,Vishkar Corporation,"Utopaea, India",2
17,Torbjörn,"Torbjörn’s extensive arsenal includes a rivet gun and hammer, as well as a personal forge that he can use to build upgradeable turrets and dole out protective armor packs.",2,200,0,0,Torbjörn Lindholm,57,140,Overwatch,"Gothenburg, Sweden",2
18,Tracer,"Toting twin pulse pistols, energy-based time bombs, and rapid-fire banter, Tracer is able to \blink\"" through space and rewind her personal timeline as she battles to right wrongs the world over.""",1,150,0,0,Lena Oxton,26,162,Overwatch,"London, England",2
19,Widowmaker,"Widowmaker equips herself with whatever it takes to eliminate her targets, including mines that dispense poisonous gas, a visor that grants her squad infra-sight, and a powerful sniper rifle that can fire in fully-automatic mode.",2,200,0,0,Amélie Lacroix,33,175,Talon,"Annecy, France",2
20,Winston,"Winston wields impressive inventions—a jump pack, electricity-blasting Tesla Cannon, portable shield projector and more—with literal gorilla strength.",3,400,100,0,Winston,29,220,Overwatch,Watchpoint Gibraltar,2
21,Zarya,"Deploying powerful personal barriers that convert incoming damage into energy for her massive Particle Cannon, Zarya is an invaluable asset on the front lines of any battle.",3,200,0,200,Aleksandra Zaryanova,28,195,Russian Defense Forces,"Krasnoyarsk Front, Russia",3
22,Zenyatta,"Zenyatta calls upon orbs of harmony and discord to heal his teammates and weaken his opponents, all while pursuing a transcendent state of immunity to damage.",4,50,0,150,Tekhartha Zenyatta,20,172,The Shambali,"Shambali Monastery, Nepal",3
23,Sombra,"Stealth and debilitating attacks make Sombra a powerful infiltrator. Her hacking can disrupt her enemies, ensuring they're easier to take out, while her EMP provides the upper hand against multiple foes at once. Sombra’s ability to Translocate and camouflage herself makes her a hard target to pin down.",1,200,0,0,,30,,Talon,"Dorado, Mexico",3
